studentid;karak2_vo3lv;karak6_vo3lv;karak12_vo3lv;karak50_vo3lv;karak92_vo3lv;karak87_vo3lv;karak8_vo3lv;karak88b_vo3lv;karak16_vo3lv;karak20_vo3lv;karak89_vo3lv;karak7_vo3lv;karak11b_vo3lv;karak15_vo3lv;karak19_vo3lv;karak5_vo3lv;karak10b_vo3lv;karak53b_vo3lv;karak93_vo3lv;karak90_vo3lv;karak94_vo3lv;karak95_vo3lv;karak96_vo3lv;karak16b_vo3lv;karak97_vo3lv;karak2b_vo3lv;karak98_vo3lv;open;cons;extra;agree;neur
6730;3;1;0;3;2;2;1;2;3;0;2;4;0;3;1;3;1;3;2;1;2;2;3;1;3;2;3;.14101432;-1.2572095;1.02587;.11656155;-.52445805
5275;2;1;3;1;2;2;2;2;2;3;3;2;2;2;2;1;1;3;2;2;3;1;2;2;3;2;2;-.048874795;-.805381;-.051349264;-1.0475872;.35947454
3793;3;1;3;3;3;2;2;2;3;2;2;3;3;3;2;2;1;2;2;2;3;1;2;2;3;2;1;.13927424;-.78125924;-.45334825;-.098153472;.43316966
4859;4;3;1;0;2;2;3;2;0;1;2;1;3;3;0;2;3;3;2;2;3;3;0;4;0;3;1;.51232398;.7936058;-.26381379;-1.9299129;-.91242838
5267;3;3;0;3;3;2;1;2;3;2;2;2;0;4;0;1;2;3;3;3;3;;4;1;3;2;1;-.036491472;-.08680395;1.2116021;.60128736;.2586692
5543;2;2;2;3;2;2;3;3;3;3;4;3;2;3;2;1;2;3;2;3;2;3;3;1;1;3;2;.13776599;-.01779273;.50600874;.11656155;.17472963
1226;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
2741;2;2;4;3;2;1;3;0;2;2;2;2;3;3;1;2;3;2;4;1;1;2;0;2;1;2;1;-.56460565;.28004679;-1.3952805;.14757845;-.56363279
2795;3;3;3;4;1;3;3;1;2;3;3;1;4;3;1;2;3;1;3;2;1;0;0;0;0;1;3;-.06163682;-.12558036;-1.4256537;.57427335;-.63331246
2303;2;3;3;3;2;2;2;0;3;2;3;2;3;3;2;3;3;2;3;3;2;2;2;2;2;3;2;.32493615;.097754933;-.85103244;.14048328;.19431704
3328;3;3;1;2;2;2;3;2;3;2;2;2;1;2;1;2;2;3;1;1;2;2;3;1;1;3;2;.16155376;.10748422;.66651833;-.60406578;-.56363279
7236;3;4;2;3;3;3;3;1;3;1;3;1;2;3;1;2;4;1;3;1;3;3;2;1;0;3;0;.67902476;1.3164848;-.50826991;.35519829;-.678698
6670;0;2;0;0;2;2;2;2;2;1;4;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;1;-1.3284556;.20015855;.43897438;-1.5460472;-.91242838
1195;1;1;3;3;2;1;3;0;3;3;3;3;1;3;0;0;1;3;3;3;1;0;1;1;0;1;3;-1.1248256;-1.1230948;-.44819775;.35519829;-.38130683
2649;2;1;3;3;2;2;3;0;3;3;3;2;2;2;3;;3;2;2;2;3;3;2;1;1;2;2;.18244994;.13064806;-.66446459;-.12952746;.165592
3701;4;1;0;3;4;3;1;2;4;1;4;3;1;4;1;4;3;4;4;1;4;2;2;1;0;4;4;1.7419926;-.9226529;.86900109;1.0714657;-.43583003
1067;2;2;2;3;2;3;2;2;3;3;2;2;1;2;3;3;3;2;2;2;1;2;3;1;3;3;2;.16563337;-.077403285;.27830333;-.12952746;.54311264
1548;3;2;0;4;4;3;2;3;1;0;1;2;0;3;1;3;3;4;3;1;3;3;3;3;0;3;1;.52606791;.28511927;1.4401432;-.30141336;-.60500294
6399;2;2;4;4;4;2;2;2;3;4;4;1;1;4;2;2;2;3;4;4;1;3;3;1;1;2;2;-.056799069;.081658296;.14816692;1.0758257;1.0224142
2313;1;2;3;2;2;3;3;1;2;2;2;1;3;3;1;1;3;3;3;3;1;2;1;2;1;2;1;-.5589478;.42430654;-.62249124;-.32695991;-.17808136
1566;2;2;3;2;3;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;-.28250566;-.17540105;-.13227488;-.80990934;-.189109
9271;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.032411862;-.25674251;-.26678044;-.81168568;.24440932
7465;3;3;3;2;3;3;3;1;2;1;2;0;2;2;0;1;2;2;2;1;2;2;2;2;2;2;0;-.031433012;.73276687;-.46562251;-.81168568;-.48481545
9022;2;2;4;4;2;2;3;2;3;2;3;2;3;3;3;2;3;2;3;3;2;2;2;1;1;2;1;-.047134697;.28004679;-.62613207;.59109992;.18919483
6671;1;2;0;3;2;0;3;0;2;1;1;1;1;2;0;1;2;3;2;0;0;1;3;0;0;2;1;-1.4345869;.050826296;.44161797;-.146354;-1.2979797
7611;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
3744;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.3038668;-.093996629;-.81168568;.0015413385
9349;3;3;1;4;4;3;4;1;3;3;2;0;0;4;2;4;4;4;4;2;3;3;3;0;3;3;1;.8661949;1.3062733;.86967528;1.2905407;.84521043
1897;3;2;1;2;3;2;3;3;3;1;3;3;0;2;0;2;2;3;3;2;2;2;3;0;0;2;1;.12960987;-.04355222;1.0519283;.087922715;-.66956037
9086;2;1;2;3;3;3;4;1;3;2;3;2;1;3;3;3;3;3;3;3;2;2;3;1;2;1;2;.11140992;.12557554;.29489246;.35519829;.62082314
3387;0;0;4;4;4;1;2;0;2;4;4;4;4;4;4;0;2;1;4;4;0;0;0;2;3;0;4;-1.5075396;-1.6206236;-1.7972796;.62956899;1.767211
5458;3;2;3;3;3;2;3;0;3;2;2;0;2;3;1;2;3;2;3;3;2;3;1;2;2;3;1;.16155376;.76270741;-.85019672;.14048328;.25354695
5635;2;1;2;3;2;2;3;1;2;3;3;3;0;3;2;2;2;2;2;3;2;3;3;2;0;3;2;.14917044;-.19295096;.26602909;-.32969505;-.014030678
